Town01_00;20220926_112355;Town01;-18;75
Town01_01;20220926_113230;Town01;-6;50
Town01_02;20220926_113744;Town01;6;100
Town01_03;20220926_114434;Town01;18;5
Town01_04;20220926_152920;Town01;30;20
Town01_05;20220926_153517;Town01;42;10
Town01_06;20220927_150725;Town01;54;25
Town01_07;20220927_163247;Town01;66;30
Town01_08;20220928_110508;Town01;78;0
Town01_09;20220928_115733;Town01;90;15
Town01_10;20220930_095942;Town01;-18;5
Town01_11;20220930_101419;Town01;-6;100
Town01_12;20220930_101949;Town01;6;15
Town01_13;20220930_104833;Town01;18;50
Town01_14;20221109_175718;Town01;30;10
Town01_15;20221109_175805;Town01;42;75
Town01_16;20221109_175814;Town01;54;0
Town01_17;20221114_100932;Town01;66;30
Town01_18;20221114_100952;Town01;78;25
Town01_19;20221114_102839;Town01;90;20

Town02_00;20220927_155900;Town02;-18;20
Town02_01;20220928_112041;Town02;-6;10
Town02_02;20220928_115441;Town02;6;100
Town02_03;20220928_132956;Town02;18;15
Town02_04;20220928_133331;Town02;30;0
Town02_05;20220930_095412;Town02;42;30
Town02_06;20220930_101648;Town02;54;75
Town02_07;20220930_103241;Town02;66;50
Town02_08;20220930_110447;Town02;78;25
Town02_09;20221114_103439;Town02;90;5
Town02_10;20221114_103510;Town02;-18;10
Town02_11;20221114_103521;Town02;-6;5
Town02_12;20221114_103541;Town02;6;30
Town02_13;20221114_103557;Town02;18;15
Town02_14;20221114_103616;Town02;30;50
Town02_15;20221114_105430;Town02;42;75
Town02_16;20221114_110543;Town02;54;0
Town02_17;20221114_111211;Town02;66;25
Town02_18;20221114_111445;Town02;78;100
Town02_19;20221114_111725;Town02;90;20

Town03_00;20220926_113503;Town03;-18;100
Town03_01;20220927_150952;Town03;-6;10
Town03_02;20220927_161530;Town03;6;5
Town03_03;20220928_114033;Town03;18;50
Town03_04;20220930_104556;Town03;30;75
Town03_05;20220930_111010;Town03;42;30
Town03_06;20220930_111227;Town03;54;0
Town03_07;20221114_110859;Town03;66;15
Town03_08;20221114_111658;Town03;78;25
Town03_09;20221114_111704;Town03;90;20
Town03_10;20221114_111721;Town03;-18;5
Town03_11;20221114_111753;Town03;-6;0
Town03_12;20221114_111818;Town03;6;75
Town03_13;20221114_111826;Town03;18;10
Town03_14;20221114_114506;Town03;30;100
Town03_15;20221114_114509;Town03;42;30
Town03_16;20221114_114523;Town03;54;25
Town03_17;20221114_114528;Town03;66;20
Town03_18;20221114_114607;Town03;78;50
Town03_19;20221114_114649;Town03;90;15

Town04_00;20220926_115645;Town04;-18;10
Town04_01;20220927_152429;Town04;-6;15
Town04_02;20220927_161805;Town04;6;25
Town04_03;20220927_162016;Town04;18;100
Town04_04;20220927_162605;Town04;30;5
Town04_05;20220928_112959;Town04;42;50
Town04_06;20220928_120023;Town04;54;20
Town04_07;20220928_123325;Town04;66;30
Town04_08;20220928_123557;Town04;78;75
Town04_09;20220928_130231;Town04;90;0
Town04_10;20220930_095052;Town04;-18;0
Town04_11;20220930_103741;Town04;-6;10
Town04_12;20220930_110233;Town04;6;20
Town04_13;20221114_115837;Town04;18;75
Town04_14;20221114_115839;Town04;30;5
Town04_15;20221114_115842;Town04;42;25
Town04_16;20221114_115910;Town04;54;50
Town04_17;20221114_122227;Town04;66;15
Town04_18;20221114_122254;Town04;78;100
Town04_19;20221114_122301;Town04;90;30

Town05_00;20220926_112924;Town05;-18;5
Town05_01;20220927_151745;Town05;-6;25
Town05_02;20220927_152657;Town05;6;75
Town05_03;20220927_160219;Town05;18;30
Town05_04;20220928_122123;Town05;30;10
Town05_05;20220928_133650;Town05;42;0
Town05_06;20220930_105135;Town05;54;50
Town05_07;20221114_141355;Town05;66;15
Town05_08;20221114_141432;Town05;78;20
Town05_09;20221114_141446;Town05;90;100
Town05_10;20221114_141510;Town05;-18;50
Town05_11;20221114_141522;Town05;-6;15
Town05_12;20221114_141538;Town05;6;10
Town05_13;20221114_144546;Town05;18;25
Town05_14;20221114_144600;Town05;30;5
Town05_15;20221114_144612;Town05;42;0
Town05_16;20221114_144639;Town05;54;20
Town05_17;20221114_150220;Town05;66;30
Town05_18;20221114_150233;Town05;78;75
Town05_19;20221114_150252;Town05;90;100

Town06_00;20220926_115107;Town06;-18;15
Town06_01;20220927_152921;Town06;-6;100
Town06_02;20220927_160517;Town06;6;0
Town06_03;20220927_162928;Town06;18;75
Town06_04;20220928_124153;Town06;30;10
Town06_05;20220928_124653;Town06;42;20
Town06_06;20220930_103530;Town06;54;50
Town06_07;20220930_113339;Town06;66;5
Town06_08;20221114_151621;Town06;78;25
Town06_09;20221114_151633;Town06;90;30
Town06_10;20221114_151652;Town06;-18;25
Town06_11;20221114_151714;Town06;-6;10
Town06_12;20221114_154204;Town06;6;50
Town06_13;20221114_154206;Town06;18;5
Town06_14;20221114_154253;Town06;30;100
